forecast_type;num_future;holydays;train_data_time_period;mape;me;mae;mpe;rmse;acf1;corr;minmax;R^2
2040;43;on;1 year 4 month;0.26098;60.7722;110.19395;0.18511;140.7117;0.71825;0.92024;0.17697;0.80551
2040;40;no;1 year 4 month;0.26983;69.13934;112.47308;0.2032;143.21143;0.71345;0.92196;0.17981;0.79853
1040;20;;4 month;0.27864;36.54036;123.86181;0.12899;158.46144;0.56473;0.88126;0.19688;0.75334
1040;40;;1 year 4 month;0.27921;72.04391;113.69003;0.21801;144.43845;0.71033;0.92164;0.18225;0.79507
1040;40;;4 month;0.25778;72.23268;118.44353;0.16656;153.62153;0.74397;0.91638;0.18326;0.76818
1030;40;;4 month;0.25788;68.51986;116.96121;0.16915;151.4137;0.72645;0.91493;0.18147;0.7748
1030;20;;4 month;0.28416;25.5006;128.50461;0.07336;162.61284;0.62026;0.87744;0.21652;0.74025
XGBRegressor;43;on;2 year 4 month;0.1949;77.13621349;103.09994;0.144782403;141.6418729;0.680224;0.940747925;0.1459554;0.8028928
40;20;;4 month;0.24558;59.92438;115.77732;0.12607;150.87359;0.75329;0.91482;0.18298;0.7764
3040;43;on;1 year 4 month;0.25929;62.52164;111.88385;0.17917;142.96241;0.72361;0.91962;0.17827;0.79923
4040;43;on;1 year 4 month;0.276481633;72.42682797;115.7463465;0.204287539;146.7217454;0.720138537;0.921109732;0.184633371;0.788536845
4030;43;on;2 year 4 month;0.273841454;65.63458957;113.5639187;0.199667942;144.2219153;0.705605221;0.918654237;0.182571684;0.795681235
