index,Count
2014-01-01 00:00:00,1300
2014-01-01 01:00:00,788
2014-01-01 02:00:00,642
2014-01-01 03:00:00,713
2014-01-01 04:00:00,583
2014-01-01 05:00:00,385
2014-01-01 06:00:00,300
2014-01-01 07:00:00,295
2014-01-01 08:00:00,236
2014-01-01 09:00:00,352
2014-01-01 10:00:00,448
2014-01-01 11:00:00,671
2014-01-01 12:00:00,795
2014-01-01 13:00:00,864
2014-01-01 14:00:00,885
2014-01-01 15:00:00,903
2014-01-01 16:00:00,792
2014-01-01 17:00:00,930
2014-01-01 18:00:00,929
2014-01-01 19:00:00,922
2014-01-01 20:00:00,788
2014-01-01 21:00:00,684
2014-01-01 22:00:00,627
2014-01-01 23:00:00,479
2014-01-02 00:00:00,408
2014-01-02 01:00:00,238
2014-01-02 02:00:00,97
2014-01-02 03:00:00,71
2014-01-02 04:00:00,94
2014-01-02 05:00:00,114
2014-01-02 06:00:00,283
2014-01-02 07:00:00,384
2014-01-02 08:00:00,680
2014-01-02 09:00:00,795
2014-01-02 10:00:00,845
2014-01-02 11:00:00,1019
2014-01-02 12:00:00,1131
2014-01-02 13:00:00,1145
2014-01-02 14:00:00,1215
2014-01-02 15:00:00,1138
2014-01-02 16:00:00,951
2014-01-02 17:00:00,1133
2014-01-02 18:00:00,1494
2014-01-02 19:00:00,1509
2014-01-02 20:00:00,1012
2014-01-02 21:00:00,740
2014-01-02 22:00:00,650
2014-01-02 23:00:00,422
2014-01-03 00:00:00,275
2014-01-03 01:00:00,152
2014-01-03 02:00:00,81
2014-01-03 03:00:00,61
2014-01-03 04:00:00,53
2014-01-03 05:00:00,40
2014-01-03 06:00:00,69
2014-01-03 07:00:00,123
2014-01-03 08:00:00,236
2014-01-03 09:00:00,358
2014-01-03 10:00:00,457
2014-01-03 11:00:00,529
2014-01-03 12:00:00,558
2014-01-03 13:00:00,472
2014-01-03 14:00:00,752
2014-01-03 15:00:00,861
2014-01-03 16:00:00,721
2014-01-03 17:00:00,812
2014-01-03 18:00:00,1045
2014-01-03 19:00:00,1174
2014-01-03 20:00:00,830
2014-01-03 21:00:00,754
2014-01-03 22:00:00,843
2014-01-03 23:00:00,658
2014-01-04 00:00:00,560
2014-01-04 01:00:00,391
2014-01-04 02:00:00,273
2014-01-04 03:00:00,208
2014-01-04 04:00:00,175
2014-01-04 05:00:00,102
2014-01-04 06:00:00,116
2014-01-04 07:00:00,164
2014-01-04 08:00:00,252
2014-01-04 09:00:00,425
2014-01-04 10:00:00,627
2014-01-04 11:00:00,797
2014-01-04 12:00:00,904
2014-01-04 13:00:00,978
2014-01-04 14:00:00,976
2014-01-04 15:00:00,1034
2014-01-04 16:00:00,862
2014-01-04 17:00:00,826
2014-01-04 18:00:00,1075
2014-01-04 19:00:00,1193
2014-01-04 20:00:00,865
2014-01-04 21:00:00,806
2014-01-04 22:00:00,932
2014-01-04 23:00:00,843
2014-01-05 00:00:00,674
2014-01-05 01:00:00,604
2014-01-05 02:00:00,458
2014-01-05 03:00:00,377
2014-01-05 04:00:00,306
2014-01-05 05:00:00,161
2014-01-05 06:00:00,130
2014-01-05 07:00:00,147
2014-01-05 08:00:00,269
2014-01-05 09:00:00,372
2014-01-05 10:00:00,623
2014-01-05 11:00:00,761
2014-01-05 12:00:00,901
2014-01-05 13:00:00,829
2014-01-05 14:00:00,832
2014-01-05 15:00:00,788
2014-01-05 16:00:00,748
2014-01-05 17:00:00,853
2014-01-05 18:00:00,847
2014-01-05 19:00:00,735
2014-01-05 20:00:00,653
2014-01-05 21:00:00,479
2014-01-05 22:00:00,381
2014-01-05 23:00:00,336
2014-01-06 00:00:00,216
2014-01-06 01:00:00,140
2014-01-06 02:00:00,106
2014-01-06 03:00:00,78
2014-01-06 04:00:00,83
2014-01-06 05:00:00,114
2014-01-06 06:00:00,333
2014-01-06 07:00:00,576
2014-01-06 08:00:00,1050
2014-01-06 09:00:00,1059
2014-01-06 10:00:00,893
2014-01-06 11:00:00,933
2014-01-06 12:00:00,1072
2014-01-06 13:00:00,1040
2014-01-06 14:00:00,1078
2014-01-06 15:00:00,937
2014-01-06 16:00:00,865
2014-01-06 17:00:00,1003
2014-01-06 18:00:00,1383
2014-01-06 19:00:00,1438
2014-01-06 20:00:00,1316
2014-01-06 21:00:00,1189
2014-01-06 22:00:00,862
2014-01-06 23:00:00,589
2014-01-07 00:00:00,418
2014-01-07 01:00:00,219
2014-01-07 02:00:00,131
2014-01-07 03:00:00,94
2014-01-07 04:00:00,85
2014-01-07 05:00:00,128
2014-01-07 06:00:00,354
2014-01-07 07:00:00,705
2014-01-07 08:00:00,1193
2014-01-07 09:00:00,1204
2014-01-07 10:00:00,1066
2014-01-07 11:00:00,1073
2014-01-07 12:00:00,1332
2014-01-07 13:00:00,1215
2014-01-07 14:00:00,1363
2014-01-07 15:00:00,1290
2014-01-07 16:00:00,1058
2014-01-07 17:00:00,952
2014-01-07 18:00:00,1216
2014-01-07 19:00:00,1547
2014-01-07 20:00:00,1621
2014-01-07 21:00:00,1478
2014-01-07 22:00:00,1194
2014-01-07 23:00:00,683
2014-01-08 00:00:00,400
2014-01-08 01:00:00,263
2014-01-08 02:00:00,122
2014-01-08 03:00:00,84
2014-01-08 04:00:00,97
2014-01-08 05:00:00,121
2014-01-08 06:00:00,379
2014-01-08 07:00:00,711
2014-01-08 08:00:00,1204
2014-01-08 09:00:00,1369
2014-01-08 10:00:00,1203
2014-01-08 11:00:00,1256
2014-01-08 12:00:00,1504
2014-01-08 13:00:00,1455
2014-01-08 14:00:00,1506
2014-01-08 15:00:00,1300
